Species,Weight,LengthDiagonal,Height,Width
Bream,242.0,25.4,11.52,4.02
Bream,290.0,26.3,12.48,4.3056
Bream,340.0,26.5,12.3778,4.6961
Bream,363.0,29.0,12.73,4.4555
Bream,430.0,29.0,12.444,5.1339999999999995
Bream,450.0,29.7,13.6024,4.9274
Bream,500.0,29.7,14.1795,5.2785
Bream,390.0,30.0,12.67,4.69
Bream,450.0,30.0,14.0049,4.8438
Bream,500.0,30.7,14.2266,4.9594
Bream,475.0,31.0,14.2628,5.1042
Bream,500.0,31.0,14.3714,4.8146
Bream,500.0,31.5,13.7592,4.368
Bream,340.0,32.0,13.9129,5.0728
Bream,600.0,32.0,14.9544,5.1708
Bream,600.0,32.0,15.437999999999999,5.58
Bream,700.0,33.0,14.8604,5.2854
Bream,700.0,33.0,14.937999999999999,5.1975
Bream,610.0,33.5,15.633,5.1338
Bream,650.0,33.5,14.4738,5.7276
Bream,575.0,34.0,15.1285,5.5695
Bream,685.0,34.0,15.9936,5.3704
Bream,620.0,34.5,15.5227,5.2801
Bream,680.0,35.0,15.4686,6.1306
Bream,700.0,35.0,16.2405,5.5889999999999995
Bream,725.0,35.0,16.36,6.0532
Bream,720.0,35.0,16.3618,6.09
Bream,714.0,36.0,16.517,5.8515
Bream,850.0,36.0,16.8896,6.1984
Bream,1000.0,37.0,18.957,6.603
Bream,920.0,38.5,18.0369,6.3063
Bream,955.0,38.5,18.084,6.292000000000001
Bream,925.0,39.5,18.7542,6.7497
Bream,975.0,41.0,18.6354,6.7473
Bream,950.0,41.0,17.6235,6.3705
Roach,40.0,14.1,4.1472,2.2680000000000002
Roach,69.0,18.2,5.2983,2.8217
Roach,78.0,18.8,5.5756,2.9044
Roach,87.0,19.8,5.6166,3.1746
Roach,120.0,20.0,6.216,3.5742
Roach,0.0,20.5,6.4752,3.3516
Roach,110.0,20.8,6.1677,3.3957
Roach,120.0,21.0,6.1146,3.2943
Roach,150.0,22.0,5.8045,3.7544
Roach,145.0,22.0,6.6339,3.5478
Roach,160.0,22.5,7.0334,3.8203
Roach,140.0,22.5,6.55,3.325
Roach,160.0,22.5,6.4,3.8
Roach,169.0,24.0,7.5344,3.8352
Roach,161.0,23.4,6.9153,3.6312
Roach,200.0,23.5,7.3968,4.1272
Roach,180.0,25.2,7.0866,3.906
Roach,290.0,26.0,8.8768,4.4968
Roach,272.0,27.0,8.568,4.7736
Roach,390.0,31.7,9.485,5.355
Whitefish,270.0,26.0,8.3804,4.2476
Whitefish,270.0,26.5,8.1454,4.2485
Whitefish,306.0,28.0,8.777999999999999,4.6816
Whitefish,540.0,31.0,10.744000000000002,6.562
Whitefish,800.0,36.4,11.7612,6.5736
Whitefish,1000.0,40.0,12.354000000000001,6.525
Parkki,55.0,14.7,6.8475,2.3265
Parkki,60.0,15.5,6.5772,2.3142
Parkki,90.0,17.7,7.4052,2.673
Parkki,120.0,19.0,8.3922,2.9181
Parkki,150.0,20.0,8.8928,3.2928
Parkki,140.0,20.7,8.5376,3.2944
Parkki,170.0,20.7,9.396,3.4104
Parkki,145.0,21.5,9.7364,3.1571
Parkki,200.0,23.0,10.3458,3.6636
Parkki,273.0,25.0,11.088,4.144
Parkki,300.0,26.0,11.368,4.234
Perch,5.9,8.4,2.112,1.4080000000000001
Perch,32.0,13.7,3.528,1.9992
Perch,40.0,15.0,3.824,2.432
Perch,51.5,16.2,4.5924,2.6316
Perch,70.0,17.4,4.588,2.9415
Perch,100.0,18.0,5.2224,3.3216
Perch,78.0,18.7,5.1992,3.1234
Perch,80.0,19.0,5.6358,3.0502
Perch,85.0,19.6,5.1376,3.0368
Perch,85.0,20.0,5.082,2.772
Perch,110.0,21.0,5.6925,3.555
Perch,115.0,21.0,5.9175,3.3075
Perch,125.0,21.0,5.6925,3.6675
Perch,130.0,21.3,6.3839999999999995,3.534
Perch,120.0,22.0,6.11,3.4075
Perch,120.0,22.0,5.64,3.525
Perch,130.0,22.0,6.11,3.525
Perch,135.0,22.0,5.875,3.525
Perch,110.0,22.0,5.5225,3.995
Perch,130.0,22.5,5.856,3.6239999999999997
Perch,150.0,22.5,6.792000000000001,3.6239999999999997
