x,y,t
170.18,56699,0
172.72,63502.88,1
170.18,64410.064,0
152.4,49895.12,2
162.56,43998.424,2
154.94,48080.752,2
200.66,95254.32,3
154.94,49895.12,2
180.34,68038.8,1
167.64,65770.84,1
152.4,51255.896,2
180.34,79378.6,0
182.88,65770.84,1
139.7,49895.12,2
162.56,50802.304,2
165.1,61234.92,0
165.1,61234.92,1
180.34,63502.88,0
172.72,58966.96,1
180.34,68945.984,0
170.18,57606.184,1
177.8,64863.656,1
172.72,74842.68,0
182.88,72574.72,0
180.34,83914.52,0
165.1,51709.488,2
170.18,52616.672,2
167.64,51255.896,2
160.02,65770.84,0
157.48,52616.672,2
180.34,70306.76,0
162.56,48534.344,2
162.56,47173.568,2
175.26,62142.104,1
190.5,90718.4,0
165.1,68038.8,1
170.18,63502.88,0
165.1,56699,0
190.5,108862.08,3
144.78,63502.88,2
172.72,61234.92,0
185.42,80739.376,0
172.72,55338.224,2
157.48,65770.84,1
172.72,86182.48,0
187.96,81646.56,0
160.02,56699,0
185.42,74842.68,0
167.64,52163.08,2
172.72,56699,1
182.88,95254.32,3
160.02,53523.856,2
165.1,61234.92,0
190.5,102058.2,3
175.26,65770.84,1
182.88,108862.08,3
175.26,77110.64,0
157.48,47627.16,2
162.56,56699,1
160.02,58966.96,1
198.12,86182.48,3
160.02,52163.08,2
185.42,127005.76,3
175.26,56699,1
160.02,54431.04,2
160.02,65770.84,1
160.02,59874.144,0
177.8,88450.44,0
175.26,76203.456,0
154.94,47627.16,2
165.1,50802.304,2
182.88,97522.28,3
175.26,68038.8,0
177.8,68038.8,0
170.18,56699,0
162.56,61234.92,1
177.8,83914.52,0
180.34,57606.184,0
182.88,80739.376,0
167.64,55791.816,2
167.64,65770.84,0
180.34,61234.92,1
172.72,61234.92,1
170.18,65770.84,0
170.18,65770.84,0
175.26,87543.256,0
167.64,56699,0
180.34,67131.616,0
165.1,56699,0
157.48,54431.04,2
165.1,53977.448,2
172.72,72574.72,0
170.18,63502.88,0
160.02,52163.08,2
162.56,56699,1
154.94,43091.24,2
157.48,57152.592,0
160.02,74842.68,1
177.8,75749.864,0
185.42,113398,3
187.96,127005.76,3
200.66,81646.56,3
180.34,79378.6,0
160.02,54431.04,2
185.42,56699,0
177.8,70760.352,0
190.5,83914.52,0
157.48,58966.96,1
170.18,63502.88,1
165.1,54431.04,2
167.64,63502.88,0
175.26,70306.76,0
152.4,47627.16,2
170.18,56699,1
165.1,52163.08,2
167.64,58966.96,1
175.26,77110.64,0
185.42,112037.224,3
187.96,78017.824,0
165.1,66678.024,0
157.48,63502.88,1
162.56,54431.04,2
160.02,49895.12,2
165.1,52163.08,2
154.94,52163.08,2
185.42,74842.68,0
187.96,81646.56,0
182.88,82553.744,0
165.1,58966.96,0
185.42,72574.72,0
187.96,86182.48,0
190.5,81646.56,0
177.8,74842.68,0
157.48,63502.88,1
172.72,74842.68,0
144.78,56699,2
182.88,72574.72,0
167.64,58059.776,0
165.1,52163.08,2
160.02,61234.92,0
167.64,53523.856,2
187.96,58966.96,0
162.56,58966.96,0
170.18,63502.88,0
180.34,78925.008,0
152.4,53523.856,2
165.1,60327.736,0
157.48,48534.344,2
162.56,65770.84,0
167.64,68038.8,1
180.34,74842.68,0
175.26,64863.656,1
177.8,70306.76,0
162.56,62595.696,1
157.48,66678.024,1
195.58,111130.04,3
157.48,58966.96,1
175.26,61234.92,1
177.8,68038.8,1
180.34,61234.92,1
182.88,72574.72,0
172.72,49895.12,2
175.26,70306.76,0
160.02,43544.832,2
165.1,63502.88,1
170.18,54431.04,2
170.18,58966.96,0
185.42,70306.76,0
160.02,47627.16,2
185.42,72574.72,0
160.02,50802.304,2
172.72,56699,1
175.26,59874.144,1
175.26,79378.6,0
160.02,68038.8,0
162.56,47627.16,2
175.26,61234.92,1
160.02,60781.328,1
162.56,52163.08,2
160.02,55791.816,2
170.18,77110.64,0
180.34,73481.904,0
172.72,63502.88,1
162.56,52163.08,2
185.42,92986.36,3
172.72,58966.96,1
170.18,65770.84,1
154.94,56699,0
175.26,81646.56,0
167.64,61234.92,0
162.56,63502.88,0
193.04,83914.52,3
162.56,61234.92,0
160.02,57606.184,0
157.48,52163.08,2
157.48,61234.92,1
180.34,64410.064,1
170.18,63502.88,1
172.72,61234.92,1
180.34,80739.376,0
170.18,61234.92,0
162.56,57606.184,1
177.8,69399.576,0
157.48,49895.12,2
185.42,74842.68,0
200.66,74842.68,3
190.5,72574.72,0
180.34,77110.64,0
165.1,53070.264,2
177.8,83914.52,0
